,Name,Year,Location,Latitude,Longitude
0,"""#1 Single""",2006,"Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766
1,"""#1 Single""",2006,"New York, United States",40.7127281,-74.0060152
2,"""#15SecondScare""",2015,"Coventry, West Midlands Combined Authority, West Midlands, England, United Kingdom",52.4081812,-1.510477
3,"""#15SecondScare""",2015,"West Hills, Los Angeles, Los Angeles County, California, 91307, United States",34.2032325,-118.645476
4,"""#15SecondScare""",2015,"West Hills, Los Angeles, Los Angeles County, California, 91307, United States",34.2032325,-118.645476
5,"""#2WheelzNHeelz""",2017,"Nashville-Davidson, Davidson County, Tennessee, United States",36.1622767,-86.7742984
6,"""#ATown""",2014,"Lady Bird Lake, Austin, Travis County, Texas, United States",30.26866735,-97.76299000801009
7,"""#ATown""",2014,"Texas Rowing Center, 1541, West Cesar Chavez Street, Clarksville, Austin, Travis County, Texas, 78703, United States",30.272271000000003,-97.76893453598484
8,"""#ATown""",2014,"Mount Bonnell, Austin, Travis County, Texas, 78731, United States",30.3207674,-97.7733474
9,"""#ATown""",2014,"Alamo Drafthouse Cinema - The Ritz, 320, East 6th Street, Downtown, Austin, Travis County, Texas, 78701, United States",30.26740345,-97.73958582383372
10,"""#ATown""",2014,"Barton Springs, Auditorium Shores, Austin, Travis County, Texas, 78767, United States",30.2587335,-97.7509521
11,"""#ActorsLife""",2016,"New York, United States",40.7127281,-74.0060152
12,"""#BreakfastClub""",2017,"New York, United States",40.7127281,-74.0060152
13,"""#BreakfastClub""",2017,"Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766
14,"""#CaptchaLA""",2017,"Los Angeles, Los Angeles County, California, United States",34.0536909,-118.242766
15,"""#DayOff""",2013,"New York, United States",40.7127281,-74.0060152
16,"""#DearGeorgette""",2015,"New York, United States",40.7127281,-74.0060152
17,"""#Elmira""",2014,"Elmira, City of Elmira, Chemung County, New York, 14904-1306, United States",42.0897965,-76.8077338
18,"""#Fuga""",2016,"Barra da Tijuca, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",-22.9979553,-43.37311472822825
19,"""#Hashtag Travel UK""",2017,"England, United Kingdom",52.5310214,-1.2649062
20,"""#Hashtag Travel""",2017,"Hudson Valley, Woodbury, Town of Woodbury, Orange County, New York, United States",41.31611085,-74.12629189225156
21,"""#Hashtag Travel""",2017,"Cold Spring, Town of Philipstown, Putnam County, New York, United States",41.4200938,-73.9545831
22,"""#Hashtag Travel""",2017,"Beacon, Dutchess County, New York, 12508, United States",41.504879,-73.9696822
23,"""#Hashtag Travel""",2017,"Fishkill, Town of Fishkill, Dutchess County, New York, 12524, United States",41.5355745,-73.898702
24,"""#Hashtag Travel""",2017,"Wappingers Falls, Town of Wappinger, Dutchess County, New York, United States",41.5965635,-73.9112103
25,"""#Hashtag Travel""",2017,"Poughkeepsie, Dutchess County, New York, 12601, United States",41.7065539,-73.9283672
26,"""#Hashtag: The Series""",2013,"Chicago, Cook County, Illinois, United States",41.8755616,-87.6244212
27,"""#Hashtag: The Series""",2013,"Chicago, Cook County, Illinois, United States",41.8755616,-87.6244212
28,"""#KateConwayisaJerk""",2015,"Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
